stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
405,,Doljanska III (B),,42.452992,19.310696,,,,,,
406,,Donji Medun (A),,42.467415,19.353018,,,,,,
407,,Beri (A),,42.428922,19.186111,,,,,,
408,,Proleterska (okretište),,42.422121,19.296285,,,,,,
410,,Trafostanica - Lješkopoljska,,42.43073044,19.21314061,,,,,,
411,,Bioče (A),,42.513346,19.343737,,,,,,
412,,Lekići (A),,42.39025,19.190182,,,,,,
415,,Španskih boraca III (A),,42.432279,19.296018,,,,,,
418,,Vezirov most I (A),,42.45188716,19.26236066,,,,,,
419,,Gornji Kokoti (A),,42.397017,19.166392,,,,,,
420,,Gornja Vrbica (A),,42.457764,19.352584,,,,,,
421,,Donja Vrbica (A),,42.447055,19.334075,,,,,,
424,,Berska II (A),,42.430683,19.203173,,,,,,
425,,Španskih boraca III (B),,42.43183277,19.29615503,,,,,,
426,,Groblje Zagorič (B),,42.46116799,19.27695621,,,,,,
427,,Podvožnjak Zagorič (A),,42.46355037,19.28656924,,,,,,
428,,Martinićka (A),,42.46821593,19.29009903,,,,,,
431,,Barutana (A),,42.395325,19.144272,,,,,,
432,,Farmaci - market (A),,42.408684,19.193685,,,,,,
434,,Lješkopoljska II,,42.42688102,19.21840321,,,,,,
436,,Kakaricka gora III (B),,42.440206,19.293796,,,,,,
437,,Pera Ćetkovića III (B),,42.434484,19.27826,,,,,,
438,,Ćukovica brijeg (A),,42.43692112,19.26580177,,,,,,
439,,Meše Selimović (A),,42.448802,19.239178,,,,,,
440,,Franca Rozmana (A),,42.4513059,19.29176694,,,,,,
441,,Nikšićki put III (B),,42.442943,19.211347,,,,,,
442,,KBC (C),,42.438503,19.24629,,,,,,
443,,Pelev brijeg (A),,42.580626,19.397369,,,,,,
444,,Farmaci (B),,42.415419,19.194906,,,,,,
446,,Vlada Ćetkovića II (A),,42.452766,19.234448,,,,,,
447,,Pera Ćetkovića III (A),,42.434499,19.27883,,,,,,
449,,Nikšićki put III (A),,42.442098,19.215898,,,,,,
450,,Groblje Zagorič (A),,42.46105876,19.27684331,,,,,,
452,,Kosor (A),,42.492621,19.379121,,,,,,
453,,Liješta-Roge (A),,42.484286,19.372769,,,,,,
454,,Donji Kokoti - teniski tereni (B),,42.410936,19.199113,,,,,,
456,,Vlada Ćetkovića I (A),,42.449064,19.232592,,,,,,
